City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Saint-Augustin,CA,2020-11-28 17:03:27,51.23,-58.65,34.79,82,69,7.29,broken clouds
173,Butterworth,MY,2020-11-28 17:03:27,5.4,100.36,77.0,94,20,5.55,few clouds
174,Narsaq,GL,2020-11-28 17:03:27,60.92,-46.05,33.8,80,75,12.75,broken clouds
175,Saint-Philippe,RE,2020-11-28 17:03:28,-21.36,55.77,77.0,69,75,10.36,broken clouds
176,Zhezkazgan,KZ,2020-11-28 17:03:28,47.8,67.71,13.28,94,27,15.66,scattered clouds
177,Bredasdorp,ZA,2020-11-28 17:03:28,-34.53,20.04,68.0,60,43,10.29,scattered clouds
178,Duldurga,RU,2020-11-28 17:03:28,50.68,113.59,7.38,91,22,5.26,few clouds
179,Sao Filipe,CV,2020-11-28 17:03:28,14.9,-24.5,76.35,69,89,10.6,overcast clouds
180,Busca,IT,2020-11-28 17:03:28,44.52,7.47,44.01,100,99,3.36,light intensity drizzle
181,Mulanje,MW,2020-11-28 17:03:28,-16.03,35.5,79.93,54,93,4.18,overcast clouds
182,Ponta Do Sol,PT,2020-11-28 17:03:28,32.67,-17.1,62.6,59,40,17.22,scattered clouds
183,Yumen,CN,2020-11-28 17:03:29,40.28,97.2,20.98,81,95,7.45,overcast clouds
184,Ahipara,NZ,2020-11-28 17:03:29,-35.17,173.17,56.08,73,57,6.42,broken clouds
185,Lebu,CL,2020-11-28 17:03:29,-37.62,-73.65,60.26,78,91,8.08,overcast clouds
186,Siderno,IT,2020-11-28 17:03:29,38.28,16.3,64.99,72,75,18.34,broken clouds
187,Meulaboh,ID,2020-11-28 17:03:29,4.14,96.13,76.33,84,100,3.76,overcast clouds
188,Jardim,BR,2020-11-28 17:01:04,-21.48,-56.14,96.73,31,29,3.91,scattered clouds
189,Isangel,VU,2020-11-28 17:03:29,-19.55,169.27,73.56,80,18,12.46,few clouds
190,Avarua,CK,2020-11-28 17:03:29,-21.21,-159.78,77.0,88,61,9.17,broken clouds
191,Langsa,ID,2020-11-28 17:03:29,4.47,97.97,74.86,94,100,2.91,heavy intensity rain
192,Olinda,BR,2020-11-28 17:03:30,-8.01,-34.86,82.4,58,40,13.87,scattered clouds
193,Sakakah,SA,2020-11-28 17:03:30,29.97,40.21,56.82,73,86,13.71,overcast clouds
194,Maceio,BR,2020-11-28 17:03:30,-9.67,-35.74,84.2,51,20,12.75,few clouds
195,Pevek,RU,2020-11-28 17:03:30,69.7,170.31,11.21,97,100,4.47,overcast clouds
196,Saldanha,ZA,2020-11-28 17:03:30,-33.01,17.94,69.8,56,0,25.28,clear sky
197,Constitucion,CL,2020-11-28 17:03:30,-35.33,-72.42,65.12,55,1,15.64,clear sky
