City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
544,544,Tapes,BR,2020-11-28 17:04:10,-30.67,-51.4,82.69,64,21,11.32,moderate rain
547,547,Guanica,PR,2020-11-28 17:04:11,17.97,-66.91,86.0,58,0,1.99,clear sky
550,550,Port Blair,IN,2020-11-28 17:04:11,11.67,92.75,80.89,79,99,15.1,overcast clouds
552,552,Kendari,ID,2020-11-28 17:04:11,-3.94,122.5,76.23,89,100,3.47,overcast clouds
553,553,Lazaro Cardenas,MX,2020-11-28 17:04:12,17.96,-102.2,84.7,62,37,2.53,scattered clouds
554,554,Vanimo,PG,2020-11-28 17:04:12,-2.67,141.3,78.98,82,99,2.37,heavy intensity rain
556,556,Gambela,ET,2020-11-28 17:04:12,8.25,34.58,86.97,43,68,2.86,broken clouds
559,559,Bondo,CD,2020-11-28 17:04:12,3.81,23.69,76.14,58,72,2.08,broken clouds
560,560,Keetmanshoop,,2020-11-28 17:04:12,-26.58,18.13,89.6,9,0,18.34,clear sky
565,565,Inhambane,MZ,2020-11-28 17:04:13,-23.86,35.38,78.8,78,75,9.17,broken clouds
567,567,Kitgum,UG,2020-11-28 17:04:13,3.28,32.89,76.12,61,81,5.14,light rain
568,568,Kismayo,SO,2020-11-28 17:04:13,-0.36,42.55,81.23,79,58,11.74,broken clouds
569,569,Port Hedland,AU,2020-11-28 17:00:23,-20.32,118.57,80.6,88,0,9.17,clear sky
570,570,Ternate,ID,2020-11-28 17:04:13,0.8,127.4,82.06,76,88,2.93,moderate rain
585,585,Newcastle,AU,2020-11-28 17:01:37,-32.93,151.78,77.0,61,80,2.24,light rain
587,587,Bolobo,CD,2020-11-28 17:04:15,-2.17,16.23,76.01,86,31,3.09,light rain
588,588,Parkes,AU,2020-11-28 17:04:15,-33.13,148.18,83.91,22,62,21.85,broken clouds
589,589,Kodinar,IN,2020-11-28 17:04:16,20.79,70.7,77.54,36,0,13.18,clear sky
590,590,Maldonado,UY,2020-11-28 17:03:26,-34.67,-54.92,84.99,58,75,14.99,broken clouds
591,591,Black River,JM,2020-11-28 17:04:16,18.03,-77.85,84.0,74,20,9.17,few clouds
595,595,Tsabong,BW,2020-11-28 17:04:16,-26.02,22.4,79.3,51,78,4.54,light rain
601,601,Tabou,CI,2020-11-28 17:04:17,4.42,-7.35,81.99,73,14,7.63,few clouds
602,602,Rio Claro,BR,2020-11-28 17:00:16,-22.41,-47.56,89.6,35,0,5.82,clear sky
603,603,Mount Isa,AU,2020-11-28 17:00:48,-20.73,139.5,78.8,41,3,5.86,clear sky
604,604,Mogadishu,SO,2020-11-28 17:02:45,2.04,45.34,80.55,66,19,17.05,few clouds
606,606,Port Keats,AU,2020-11-28 17:04:18,-14.25,129.55,82.33,71,20,5.21,few clouds
610,610,Vaitape,PF,2020-11-28 17:04:18,-16.52,-151.75,81.34,76,2,5.68,clear sky
618,618,Garowe,SO,2020-11-28 17:04:19,8.41,48.48,78.49,53,48,18.86,scattered clouds
619,619,Necochea,AR,2020-11-28 17:04:19,-38.55,-58.74,86.13,36,77,6.58,broken clouds
622,622,Gobabis,,2020-11-28 17:04:19,-22.45,18.97,84.2,37,89,8.05,overcast clouds
624,624,Sibolga,ID,2020-11-28 17:04:20,1.74,98.78,77.45,80,100,2.91,light rain
625,625,Liwonde,MW,2020-11-28 17:04:20,-15.05,35.2,83.61,39,66,4.52,broken clouds
628,628,Cap Malheureux,MU,2020-11-28 17:04:20,-19.98,57.61,75.99,76,5,7.0,clear sky
640,640,Cam Ranh,VN,2020-11-28 17:04:22,11.92,109.16,77.0,94,75,18.34,moderate rain
642,642,Beira,MZ,2020-11-28 17:04:22,-19.84,34.84,82.4,78,40,12.75,scattered clouds
648,648,Curvelo,BR,2020-11-28 17:04:22,-18.76,-44.43,84.72,41,2,10.25,clear sky
655,655,Kinablangan,PH,2020-11-28 17:04:23,7.69,126.55,78.03,85,77,6.76,light rain
659,659,Amahai,ID,2020-11-28 17:04:24,-3.33,128.92,84.0,88,99,1.01,overcast clouds
661,661,Namatanai,PG,2020-11-28 17:04:24,-3.67,152.43,79.5,80,93,5.99,overcast clouds
664,664,Dakar,SN,2020-11-28 17:03:07,14.69,-17.44,80.6,51,0,17.22,clear sky
667,667,Basco,PH,2020-11-28 17:04:24,20.45,121.97,77.5,78,88,29.97,overcast clouds
670,670,Pedasi,PA,2020-11-28 17:04:25,7.53,-80.03,81.91,75,36,8.93,scattered clouds
671,671,Raymondville,US,2020-11-28 17:04:25,26.48,-97.78,82.0,74,90,9.17,overcast clouds
674,674,Sechura,PE,2020-11-28 17:04:25,-5.56,-80.82,78.75,52,64,10.85,broken clouds
675,675,Kiama,AU,2020-11-28 17:04:25,-34.68,150.87,82.4,45,100,12.75,moderate rain
676,676,Gibara,CU,2020-11-28 17:04:26,21.11,-76.13,82.4,69,75,9.17,broken clouds
677,677,Santa Isabel Do Rio Negro,BR,2020-11-28 17:04:26,-0.41,-65.02,84.63,82,83,6.4,broken clouds
680,680,Mataram,ID,2020-11-28 17:04:26,-8.58,116.12,78.8,94,75,2.91,broken clouds
681,681,Mananjary,MG,2020-11-28 17:04:26,-21.22,48.33,76.82,85,35,8.59,scattered clouds
682,682,Srivardhan,IN,2020-11-28 17:04:26,18.03,73.02,77.59,77,34,1.92,scattered clouds
